  N1 N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19
N1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
N2 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
N3 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
N4 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
N5 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
N6 1 1 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0
N7 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0
N8 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
N9 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0
N10 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0
N11 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 1 0 0 0
N12 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0
N13 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0
N14 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0
N15 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0
N16 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1
N17 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
N18 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
N19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
